ID,Plot,Species,Aboveground,Belowground,Harvest Notes,Height (cm),Diameter Base (cm),TotalWetMass,Total Branches (g),Total Petioles (g),Stem (g), Roots (g),Leaf Count,LeafAveMass,TotalLeafMass,Area.1,AreaC.1,WetMass.1,TotArea.1,Area.2,AreaC.2,TotArea.2,WetMass.2,Area.3,AreaC.3,TotArea.3,WetMass.3,Area.4,AreaC.4,TotArea.4,WetMass.4,Area.5,AreaC.5,TotArea.5,WetMass.5,Area.6,AreaC.6,TotArea.6,WetMass.6,Area.7,AreaC.7,TotArea.7,WetMass.7,Area.8,AreaC.8,TotArea.8,WetMass.8,Area.9,AreaC.9,TotArea.9,WetMass.9,Area.10,AreaC.10,TotArea.10,WetMass.10,Area.11,AreaC.11,TotArea.11,WetMass.11,Area.12,AreaC.12,TotArea.12,WetMass.12,Area.13,AreaC.13,TotArea.13,WetMass.13,Area.14,AreaC.14,TotArea.14,WetMass.14,Area.15,AreaC.15,TotArea.15,WetMass.15,Area.16,AreaC.16,TotArea.16,WetMass.16,WetMass.17,WetMass.18,WetMass.19,WetMass.20,WetMass.21,WetMass.22,WetMass.23,WetMass.24,WetMass.25,WetMass.26,WetMass.27,WetMass.28,WetMass.29,WetMass.30,WetMass.31,WetMass.32,WetMass.33,WetMass.34,WetMass.35,WetMass.36,WetMass.37,WetMass.38,WetMass.39
230,24.2,Cymbopetalum baillonii,Exposed,Unprotected,,7,0.3,0.40,,,0.26,0.09,3,0.017,0.050,3.321,0,0.03,3.321,1.337,0,1.337,0.01,1.821,0,1.821,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
234,24.2,Sapindus saponaria,Covered,Unprotected,,7,0.3,0.40,,0.01,0.2,0.15,2,0.020,0.040,10.429,0.023,0.03,10.452,,,0,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
SASA3,Invernadero,Sapindus saponaria,Invernadero,Invernadero,Died / Drying,,,13.50,,,4.26,9.24,0,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASA9,Invernadero,Sapindus saponaria,Invernadero,Invernadero,Died / Drying,,,9.64,,,3.74,5.73,3,0.057,0.170,,,0.05,,,,,0.07,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASA19,Invernadero,Sapindus saponaria,Invernadero,Invernadero,Died / Drying,,,16.21,,,7,8.69,5,0.104,0.520,,,0.08,,,,,0.1,,,,0.12,,,,0.12,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASA24,Invernadero,Sapindus saponaria,Invernadero,Invernadero,Died / Drying,,,1.65,,,0.54,0.94,3,0.057,0.170,,,0.01,,7.615,0,,0.07,16.918,0,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA3,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,12.35,,,5.08,6.39,6,0.147,0.880,,,0.06,,,,,0.16,,,,0.12,,,,0.27,,,,0.15,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA4,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,11.95,,,5.49,5.95,7,0.073,0.510,,,0.13,,,,,0.09,,,,0.07,,,,0.11,,,,0.07,,,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA5,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,22.50,,,7.94,13.39,7,0.167,1.170,,,0.16,,,,,0.61,,,,0.12,,,,0.01,,,,0.07,,,,0.05,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA6,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,17.62,,,6.77,10.08,5,0.154,0.770,,,0.14,,,,,0.08,,,,0.09,,,,0.03,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA8,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,8.53,,,2.94,5.18,4,0.103,0.410,,,0.07,,,,,0.04,,,,0.05,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA13,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,24.84,,,8.15,15.49,5,0.240,1.200,,,0.07,,,,,0.14,,,,0.06,,,,0.15,7.003,0,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA24,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,10.59,,,4.27,4.91,5,0.282,1.410,,,0.05,,,,,0.05,,,,0.09,55.21,1.132,,1.09,7.702,0,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA25,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,15.36,,,7.64,7.29,6,0.072,0.430,,,0.04,,,,,0.06,,,,0.06,,,,0.12,,,,0.12,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA27,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,7.95,,,3.26,3.94,6,0.125,0.750,,,0.05,,,,,0.24,,,,0.17,,,,0.16,,,,0.1,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA28,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,,5.55,,,2.88,2.35,3,0.107,0.320,,,0.09,,,,,0.14,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA35,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,12.38,,,4.38,7.47,5,0.106,0.530,,,0.15,,,,,0.09,,,,0.19,,,,0.03,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA38,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,5.47,,,2.24,2.76,7,0.067,0.470,,,0.05,,,,,0.07,,,,0.05,,,,0.03,,,,0.15,,,,0.11,,,,0.01,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA39,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,6.47,,,2.71,3.27,5,0.098,0.490,,,0.09,,,,,0.07,,,,0.23,,,,0.06,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA40,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,6.37,,,2.62,3.27,4,0.120,0.480,,,0.07,,,,,0.2,,,,0.15,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA42,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,17.33,,,7.73,8.99,5,0.122,0.610,,,0.29,,,,,0.14,,,,0.07,,,,0.01,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA45,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,20.85,,,7.24,10.05,6,0.593,3.560,88.317,1.817,1.89,,25.125,0.07,,1.18,,,,0.07,,,,0.17,,,,0.12,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA46,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,9.17,,,4.04,4.42,4,0.178,0.710,,,0.38,,,,,0.18,,,,0.07,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA47,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,8.05,,,3.65,3.97,6,0.072,0.430,,,0.11,,,,,0.1,,,,0.07,,,,0.06,,,,0.04,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA53,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,Died / Drying,,,6.53,,,3.08,3.18,5,0.054,0.270,,,0.04,,,,,0.03,,,,0.04,,,,0.07,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
