ID,Plot,Species,Aboveground,Belowground,Harvest Notes,Height (cm),Diameter Base (cm),TotalWetMass,Total Branches (g),Total Petioles (g),Stem (g), Roots (g),Leaf Count,LeafAveMass,TotalLeafMass,Area.1,AreaC.1,WetMass.1,TotArea.1,Area.2,AreaC.2,TotArea.2,WetMass.2,Area.3,AreaC.3,TotArea.3,WetMass.3,Area.4,AreaC.4,TotArea.4,WetMass.4,Area.5,AreaC.5,TotArea.5,WetMass.5,Area.6,AreaC.6,TotArea.6,WetMass.6,Area.7,AreaC.7,TotArea.7,WetMass.7,Area.8,AreaC.8,TotArea.8,WetMass.8,Area.9,AreaC.9,TotArea.9,WetMass.9,Area.10,AreaC.10,TotArea.10,WetMass.10,Area.11,AreaC.11,TotArea.11,WetMass.11,Area.12,AreaC.12,TotArea.12,WetMass.12,Area.13,AreaC.13,TotArea.13,WetMass.13,Area.14,AreaC.14,TotArea.14,WetMass.14,Area.15,AreaC.15,TotArea.15,WetMass.15,Area.16,AreaC.16,TotArea.16,WetMass.16,WetMass.17,WetMass.18,WetMass.19,WetMass.20,WetMass.21,WetMass.22,WetMass.23,WetMass.24,WetMass.25,WetMass.26,WetMass.27,WetMass.28,WetMass.29,WetMass.30,WetMass.31,WetMass.32,WetMass.33,WetMass.34,WetMass.35,WetMass.36,WetMass.37,WetMass.38,WetMass.39
86,10.2,Sapindus saponaria,Exposed,Protected,,50,1,10.68,,0.24,2.43,3.97,18,0.224,4.040,62.817,1.988,0.53,64.805,,,0,0.18,,,0,0.45,,,0,0.47,,,0,0.34,,,0,0.12,,,0,0.4,,,0,0.27,,,0,0.22,,,0,0.27,,,0,0.26,,,0,0.08,,,0,0.08,,,0,0.06,,,0,0.01,,,0,0.22,0.03,0.05,,,,,,,,,,,,,,,,,,,,,
87,10.2,Cymbopetalum baillonii,Exposed,Protected,Plant broke through,50,1,44.53,2.62,,11.43,10.72,32,0.618,19.760,67.083,0.556,1.32,67.639,85.841,0,85.841,1.68,37.736,0,37.736,0.55,,,0,1.76,,,0,0.43,,,0,0.6,,,0,0.85,,,0,1.68,,,0,1.37,,,0,1.05,,,0,1.17,,,0,0.64,,,0,1.59,,,0,0.56,,,0,0.41,,,0,0.32,0.5,0.48,0.4,0.32,0.51,0.26,0.34,0.16,0.14,0.14,0.15,0.1,0.11,0.07,0.04,0.06,,,,,,,
88,10.2,Cymbopetalum baillonii,Exposed,Protected,Plant broke through,35,0.9,30.74,1.65,,7.18,7.89,28,0.501,14.020,60.258,0.016,1.09,60.274,28.574,0,28.574,0.4,61.297,0,61.297,1.23,,,0,0.38,,,0,1,,,0,0.58,,,0,0.74,,,0,1.08,,,0,0.35,,,0,0.59,,,0,0.82,,,0,0.52,,,0,0.24,,,0,0.66,,,0,0.93,,,0,0.66,0.65,0.26,0.2,0.22,0.09,0.21,0.3,0.22,0.17,0.12,0.27,0.04,,,,,,,,,,,
91,10.2,Sapindus saponaria,Covered,Protected,Fern burst through,26,0.4,3.32,,0.17,1.41,0.156,8,0.198,1.580,45.516,0.388,0.33,45.904,,,0,0.34,,,0,0.12,,,0,0.09,,,0,0.16,,,0,0.28,,,0,0.22,,,0,0.04,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
94,10.2,Cymbopetalum baillonii,Covered,Protected,,26,0.4,1.24,,,0.38,0.56,6,0.050,0.300,4.86,0.725,0.08,5.585,,,0,0.03,,,0,0.03,,,0,0.06,,,0,0.07,,,0,0.03,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
95,10.2,Cymbopetalum baillonii,Covered,Protected,Fern burst through,20,0.4,1.62,0.06,,0.56,0.16,8,0.105,0.840,21.068,0,0.25,21.068,10.835,0,10.835,0.11,11.906,0,11.906,0.13,,,0,0.09,,,0,0.13,,,0,0.07,,,0,0.05,,,0,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
96,10.2,Sapindus saponaria,Covered,Protected,,10,0.2,0.54,,0.03,0.26,0.11,5,0.028,0.140,7.819,0.052,0.04,7.871,,,0,0.03,,,0,0.03,,,0,0.03,,,0,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
106,10.2,Sapindus saponaria,Exposed,Unprotected,,38,10,48.31,,1.24,13.73,12.88,18,1.137,20.460,45.317,0.571,1.41,45.888,,,0,0.14,,,0,1.91,,,0,1.02,,,0,0.49,,,0,0.89,,,0,0.48,,,0,0.36,,,0,0.38,,,0,2.37,,,0,1.77,,,0,0.98,,,0,2.16,,,0,1.82,,,0,1.52,,,0,1.21,0.92,0.63,,,,,,,,,,,,,,,,,,,,,
126,15.3,Sapindus saponaria,Exposed,Protected,,36,0.8,23.13,,1.83,5.44,4.62,20,0.562,11.240,26.973,0,0.47,26.973,44.131,0,44.131,0.8,76.501,0.062,76.563,1.53,,,0,1.42,,,0,1.05,,,0,1.61,,,0,0.73,,,0,0.45,,,0,0.41,,,0,0.38,,,0,0.68,,,0,0.17,,,0,0.28,,,0,0.16,,,0,0.31,,,0,0.25,0.22,0.11,0.11,0.1,,,,,,,,,,,,,,,,,,,
128,15.3,Sapindus saponaria,Exposed,Protected,,17,0.5,7.91,,0.28,2.58,2.33,10,0.272,2.720,18.936,5.547,0.14,24.483,,,0,0.37,,,0,0.29,,,0,0.36,,,0,0.13,,,0,0.32,,,0,0.08,,,0,0.28,,,0,0.47,,,0,0.28,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
134,15.3,Cymbopetalum baillonii,Covered,Protected,,17,0.3,1.11,,,0.58,0.22,6,0.052,0.310,9.123,0.003,0.1,9.126,3.279,0,3.279,0.04,6.305,0,6.305,0.07,,,0,0.03,,,0,0.06,,,0,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
135,15.3,Cymbopetalum baillonii,Covered,Protected,Fern invaded,13,0.3,2.22,0.1,,1.05,0.13,9,0.104,0.940,15.515,0,0.18,15.515,7.844,0,7.844,0.09,11.054,0,11.054,0.14,,,0,0.08,,,0,0.12,,,0,0.14,,,0,0.08,,,0,0.06,,,0,0.05,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
137,15.3,Cymbopetalum baillonii,Covered,Protected,,24,0.4,4.11,0.18,,1,0.37,17,0.151,2.560,16.463,2.358,0.19,18.821,18.497,0,18.497,0.21,9.553,0,9.553,0.1,,,0,0.44,,,0,0.39,,,0,0.21,,,0,0.19,,,0,0.13,,,0,0.11,,,0,0.1,,,0,0.11,,,0,0.11,,,0,0.14,,,0,0.03,,,0,0.08,,,0,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,
140,15.3,Sapindus saponaria,Covered,Protected,,6,0.2,0.54,,0.03,0.12,0.25,3,0.047,0.140,3.366,0.025,0.01,3.391,,,0,0.08,,,0,0.05,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
142,15.3,Sapindus saponaria,Exposed,Unprotected,,14,0.4,2.28,,0.11,0.97,0.62,3,0.193,0.580,73.772,1.294,0.47,75.066,,,0,0.05,,,0,0.06,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
144,15.3,Sapindus saponaria,Exposed,Unprotected,,21,0.7,7.06,,0.14,2.09,2.31,6,0.420,2.520,75.605,0.042,0.56,75.647,,,0,0.39,,,0,0.29,,,0,0.4,,,0,0.45,,,0,0.43,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
153,15.3,Sapindus saponaria,Covered,Unprotected,,15,0.3,1.55,,0.03,0.63,0.38,5,0.102,0.510,24.988,0.02,0.09,25.008,,,0,0.09,,,0,0.08,,,0,0.09,,,0,0.16,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
154,15.3,Cymbopetalum baillonii,Covered,Unprotected,,13,0.2,0.77,0.03,,0.35,0.07,6,0.053,0.320,11.055,0,0.12,11.055,6.449,0,6.449,0.08,3.47,0,3.47,0.05,,,0,0.05,,,0,0.01,,,0,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
159,15.3,Sapindus saponaria,Covered,Unprotected,,17,0.3,2.98,,0.06,0.88,0.83,9,0.134,1.210,33.002,0.046,0.2,33.048,,,0,0.22,,,0,0.11,,,0,0.21,,,0,0.2,,,0,0.11,,,0,0.01,,,0,0.12,,,0,0.03,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
159,15.3,Cymbopetalum baillonii,Covered,Unprotected,,16,0.3,1.22,0.05,,0.51,0.15,6,0.085,0.510,10.173,18.328,0.08,28.501,12.319,1.418,13.737,0.1,13.692,22.366,36.058,0.12,,,0,0.1,,,0,0.1,,,0,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
167,15.4,Sapindus saponaria,Exposed,Protected,Plant broke through,35,1.1,53.84,,1,11.92,19.96,21,0.998,20.960,141.627,0.343,1.57,141.97,,,0,1.68,,,0,1.48,,,0,2.11,,,0,0.28,,,0,0.7,,,0,0.6,,,0,1,,,0,0.32,,,0,0.12,,,0,0.51,,,0,1.62,,,0,1.84,,,0,1.66,,,0,0.27,,,0,0.62,1,1.38,0.5,0.86,0.84,,,,,,,,,,,,,,,,,,
169,15.4,Sapindus saponaria,Exposed,Protected,,46,1,45.40,,0.94,13.84,15.28,17,0.902,15.340,80.98,0.041,0.82,81.021,,,0,1.73,,,0,1.73,,,0,0.77,,,0,1,,,0,0.73,,,0,0.5,,,0,0.87,,,0,0.38,,,0,0.51,,,0,2,,,0,0.66,,,0,0.44,,,0,0.59,,,0,1.03,,,0,0.32,1.26,,,,,,,,,,,,,,,,,,,,,,
